"year","month","day","site","side-LTERtransect","zone-LTERreplicate","transect","classcode","size","mpa_status","reserve","year_mpa","count","area"
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",3.9,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",3.9,"SMR","IN",2003,2,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",4,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",4.2,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",4.2,"SMR","IN",2003,2,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",4.3,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",4.5,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",4.5,"SMR","IN",2003,2,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",4.7,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",4.7,"SMR","IN",2003,2,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",4.7,"SMR","IN",2003,3,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",4.9,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",5,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",5,"SMR","IN",2003,2,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",5.1,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",5.1,"SMR","IN",2003,2,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",5.2,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",5.3,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",5.3,"SMR","IN",2003,2,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",5.5,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",5.5,"SMR","IN",2003,2,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",5.6,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",5.7,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",5.7,"SMR","IN",2003,2,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",5.7,"SMR","IN",2003,3,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",5.8,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",6,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",6,"SMR","IN",2003,2,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",6,"SMR","IN",2003,3,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",6.5,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",6.5,"SMR","IN",2003,2,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",6.5,"SMR","IN",2003,3,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",6.7,"SMR","IN",2003,1,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",6.7,"SMR","IN",2003,2,NA
2003,10,"16","SRI_SOUTH_POINT","W","MID",NA,"STRPURAD",6.8,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",0.9,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",1.1,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",1.3,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",1.4,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",1.4,"SMR","IN",2003,2,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",1.6,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",1.6,"SMR","IN",2003,2,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",1.8,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",1.9,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",2,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",2.1,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",2.2,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",2.2,"SMR","IN",2003,2,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",2.2,"SMR","IN",2003,3,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",2.2,"SMR","IN",2003,4,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",2.3,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",2.3,"SMR","IN",2003,2,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",2.3,"SMR","IN",2003,3,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",2.7,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",2.8,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",2.9,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",3,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",3.1,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",3.1,"SMR","IN",2003,2,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",3.6,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",3.7,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",4,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",4.1,"SMR","IN",2003,1,NA
2003,10,"17","SMI_PRINCE_ISLAND","W","INNER",NA,"STRPURAD",4.7,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",1.1,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",1.1,"SMR","IN",2003,2,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",1.8,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",2.1,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",2.1,"SMR","IN",2003,2,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",2.2,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",2.2,"SMR","IN",2003,2,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",2.5,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",2.8,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",3,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",3.1,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",3.2,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",3.3,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",3.3,"SMR","IN",2003,2,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",3.4,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",3.6,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",3.6,"SMR","IN",2003,2,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",3.7,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",3.8,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",3.8,"SMR","IN",2003,2,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",3.8,"SMR","IN",2003,3,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",3.8,"SMR","IN",2003,4,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",3.9,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",4,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",4.3,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",4.5,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",4.6,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",4.6,"SMR","IN",2003,2,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",4.6,"SMR","IN",2003,3,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",4.7,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",4.8,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",4.9,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",4.9,"SMR","IN",2003,2,NA
2003,10,"18","SRI_CARRINGTON","E","MID",NA,"STRPURAD",5,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",2,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",2.2,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",2.3,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",2.4,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",2.5,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",2.6,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",2.7,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",2.7,"SMR","IN",2003,2,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.1,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.2,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.2,"SMR","IN",2003,2,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.2,"SMR","IN",2003,3,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.2,"SMR","IN",2003,4,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.3,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.3,"SMR","IN",2003,2,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.4,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.5,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.6,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.6,"SMR","IN",2003,2,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.6,"SMR","IN",2003,3,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.7,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.8,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.8,"SMR","IN",2003,2,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.8,"SMR","IN",2003,3,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",3.9,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",4,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",4,"SMR","IN",2003,2,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",4.4,"SMR","IN",2003,1,NA
2003,10,"18","SRI_CARRINGTON","E","OUTER",NA,"STRPURAD",4.6,"SMR","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",0.9,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",1.5,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",1.8,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",2,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",2.1,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",2.1,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",2.2,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",2.2,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",2.2,"SMCA","IN",2003,3,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",2.4,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",2.5,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",2.5,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",2.5,"SMCA","IN",2003,3,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",2.6,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",2.6,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",2.8,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",3,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",3,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",3,"SMCA","IN",2003,3,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",3,"SMCA","IN",2003,4,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",3.1,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",3.2,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",3.2,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",3.2,"SMCA","IN",2003,3,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",3.4,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",3.4,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",3.5,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",3.6,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",3.8,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","INNER",NA,"STRPURAD",4.3,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",0.7,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",1,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",1.2,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",1.4,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",1.7,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",1.8,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",1.8,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",1.9,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2.1,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2.2,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2.2,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2.3,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2.4,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2.4,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2.4,"SMCA","IN",2003,3,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2.4,"SMCA","IN",2003,4,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2.5,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2.7,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2.7,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2.8,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2.8,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",2.9,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",3,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",3,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",3.1,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",3.2,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",3.2,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",3.4,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",3.4,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",3.4,"SMCA","IN",2003,3,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",3.5,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",3.5,"SMCA","IN",2003,2,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",3.5,"SMCA","IN",2003,3,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",3.6,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",3.7,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",3.8,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",4,"SMCA","IN",2003,1,NA
2003,10,"30","SCI_PAINTED_CAVE","E","OUTER",NA,"STRPURAD",4.2,"SMCA","IN",2003,1,NA
2003,11,"20","SRI_CLUSTER_POINT","W","OUTER",NA,"STRPURAD",2.2,"reference","OUT",0,1,NA
2003,11,"20","SRI_CLUSTER_POINT","W","OUTER",NA,"STRPURAD",3,"reference","OUT",0,1,NA
2003,11,"4","SMI_TYLER_BIGHT","W","INNER",NA,"STRPURAD",3.9,"reference","OUT",0,1,NA
2003,11,"4","SMI_TYLER_BIGHT","W","INNER",NA,"STRPURAD",4.3,"reference","OUT",0,1,NA
2003,11,"4","SMI_TYLER_BIGHT","W","INNER",NA,"STRPURAD",4.6,"reference","OUT",0,1,NA
2003,11,"4","SMI_TYLER_BIGHT","W","INNER",NA,"STRPURAD",6.2,"reference","OUT",0,1,NA
