id,sex,last_molt,size,class,treatment,density,order,ifrepeat,finished,num_offered,num_left,num_consumed,num_dead,tank_id,unit_id,trial,food_remaining,starve_hours,discard,notes
HH10,,,76,medium,urc_medium,2,1,,finished,2,2,0,,5,TD,3,,,,
HH10,,,76,medium,urc_medium,5,2,,finished,2,2,0,,5,TD,3,,,yes,not starved!!! Found prey in tank
HH10,,,76,medium,urc_medium,26,3,,finished,26,25,1,1,5,TD,5,,,,
HH10,,,76,medium,urc_medium,3,4,,finished,3,3,0,,5,TD,4,,48,,
HH10,,,76,medium,urc_medium,10,6,,finished,10,7,3,1,5,TD,6,,,,
HH04,,,85.5,medium,urc_medium,2,2,b,finished,2,2,0,,5,TI,8,,,,
HH04,,,85.5,medium,urc_medium,10,5,,finished,10,9,1,,5,TI,7,,,,
HH04,,,85.5,medium,urc_medium,26,1,,finished,26,25,1,,5,TI,2,,,,
HH04,,,85.5,medium,urc_medium,2,2,,finished,2,2,0,,5,TI,3,,,yes,not starved!!! Found prey in tank
HH04,,,85.5,medium,urc_medium,5,3,,finished,5,2,3,,5,TI,5,,,,
HH04,,,85.5,medium,urc_medium,16,4,,finished,16,15,1,,5,TI,4,,48,,
HH04,,,85.5,medium,urc_medium,3,6,,finished,3,0,3,,5,TI,6,,,,
HH13,,,80,medium,urc_medium,16,5,,finished,16,14,2,2,6,BD,7,,,,
HH13,,,80,medium,urc_medium,2,1,,finished,3,3,0,,6,BD,2,,,,wrong amount
HH13,,,80,medium,urc_medium,5,2,,finished,5,4,1,,6,BD,3,,,,
HH13,,,80,medium,urc_medium,3,3,,finished,3,0,3,,6,BD,5,,,,
HH13,,,80,medium,urc_medium,26,4,,finished,26,24,2,,6,BD,4,,48,,
HH13,,,80,medium,urc_medium,10,6,,finished,10,2,8,,6,BD,6,,,,
SCI04,,,89.7,medium,urc_small,2,1,b,finished,2,0,2,,6,BI,9,,,,
SCI04,,,89.7,medium,urc_small,5,5,,finished,5,0,5,,6,BI,7,,,,
SCI04,,,89.7,medium,urc_small,2,1,,finished,2,0,2,,6,BI,2,no,,yes,
SCI04,,,89.7,medium,urc_small,3,2,,finished,3,0,3,,6,BI,3,,,,
SCI04,,,89.7,medium,urc_small,26,3,,finished,26,14,12,,6,BI,5,,,,
SCI04,,,89.7,medium,urc_small,16,4,,finished,16,6,10,,6,BI,4,,48,,
SCI04,,,89.7,medium,urc_small,10,6,,finished,10,0,10,,6,BI,6,,,,
N12,,,86.4,medium,urc_small,2,5,,finished,2,1,1,,6,TI,7,,,,
N12,,,86.4,medium,urc_small,26,1,,finished,10,1,9,,6,TI,2,,,,
N12,,,86.4,medium,urc_small,5,2,,finished,5,1,4,,6,TI,3,,,,
N12,,,86.4,medium,urc_small,3,3,,finished,3,0,3,,6,TI,5,,,,
N12,,,86.4,medium,urc_small,10,4,,finished,10,2,8,,6,TI,4,,48,,
N12,,,86.4,medium,urc_small,16,6,,finished,16,2,14,,6,TI,6,,,,
N04,,,85.2,medium,urc_medium,5,1,,finished,2,2,0,,7,BD,2,,,,
N04,,,85.2,medium,urc_medium,3,2,,finished,3,3,0,,7,BD,3,,,,
N04,,,85.2,medium,urc_medium,10,3,,finished,10,8,2,,7,BD,7,,,,
N04,,,85.2,medium,urc_medium,2,4,,finished,2,1,1,,7,BD,4,,48,,
N04,,,85.2,medium,urc_medium,26,5,,finished,26,23,3,1,7,BD,5,,,,
N04,,,85.2,medium,urc_medium,16,6,,finished,16,14,2,,7,BD,6,,,,
HH21,,,83,medium,urc_small,16,5,,finished,16,12,4,,7,BI,8,,,,
HH21,,,83,medium,urc_small,3,6,b,finished,3,3,0,,7,BI,9,,,,
HH21,,,83,medium,urc_small,2,3,,finished,2,0,2,,7,BI,7,,,,
HH21,,,83,medium,urc_small,5,1,,finished,5,3,2,,7,BI,2,,,,
HH21,,,83,medium,urc_small,10,2,,finished,10,8,2,,7,BI,3,,,,
HH21,,,83,medium,urc_small,26,4,,finished,26,21,5,,7,BI,4,,48,,
HH21,,,83,medium,urc_small,3,6,,finished,3,3,0,,7,BI,6,,,yes,12 mediums out; 1 medium eaten; need to discard
SCI02,,,66,small,urc_large,16,1,b,finished,16,16,0,,8,BD,7,,,,
SCI02,,,66,small,urc_large,16,1,,finished,16,16,0,,8,BD,1,,,yes,
SCI02,,,66,small,urc_large,10,2,,finished,10,10,0,1,8,BD,2,,,,
SCI02,,,66,small,urc_large,26,3,,finished,26,26,0,5,8,BD,3,,,,
SCI02,,,66,small,urc_large,2,4,,finished,2,2,0,,8,BD,4,,48,,
SCI02,,,66,small,urc_large,5,5,,finished,2,2,0,,8,BD,5,,,,did not receive correct density 
SCI02,,,66,small,urc_large,3,6,,finished,3,3,0,1,8,BD,6,,,,
SCI02,,,66,small,urc_small,,,,finished,10,7,3,,8,BD,special,,,,to check if they consume urchins
HH18,,,59,small,urc_medium,16,1,b,finished,16,16,0,1,8,BI,7,,,,
HH18,,,59,small,urc_medium,16,1,,finished,16,16,0,,8,BI,1,,,yes,
HH18,,,59,small,urc_medium,3,2,,finished,3,3,0,,8,BI,2,,,,
HH18,,,59,small,urc_medium,10,3,,finished,10,10,0,1,8,BI,3,,,,
HH18,,,59,small,urc_medium,26,4,,finished,26,25,1,3,8,BI,4,,48,,
HH18,,,59,small,urc_medium,2,5,,finished,2,2,0,,8,BI,5,,,,
HH18,,,59,small,urc_medium,5,6,,finished,5,5,0,1,8,BI,6,,,,
HH18,,,59,small,urc_small,,,,finished,10,10,0,,8,BI,special,,,,to check if they consume urchins
N02,,,78,medium,urc_medium,5,5,,finished,5,5,0,,9,BD,7,,,,
N02,,,78,medium,urc_medium,3,1,,finished,3,3,0,,9,BD,2,,,,
N02,,,78,medium,urc_medium,16,2,,finished,16,16,0,,9,BD,3,,,,
N02,,,78,medium,urc_medium,10,3,,finished,10,10,0,1,9,BD,5,,,,
N02,,,78,medium,urc_medium,26,4,,finished,26,26,0,2,9,BD,4,,48,,
N02,,,78,medium,urc_medium,2,6,,finished,2,1,1,,9,BD,6,,,,
N02,,,78,medium,urc_small,,,,finished,10,4,6,,9,BD,special,,,,to check if they consume urchins
N07,,,89.3,medium,urc_large,10,5,,finished,10,9,1,,9,BI,7,,,,
N07,,,89.3,medium,urc_large,5,1,,finished,5,5,0,2,9,BI,2,,,,
N07,,,89.3,medium,urc_large,2,2,,finished,2,2,0,,9,BI,3,,,,
N07,,,89.3,medium,urc_large,26,3,,finished,26,24,2,2,9,BI,5,,,,egged‰Û_ 
N07,,,89.3,medium,urc_large,3,4,,finished,3,3,0,,9,BI,4,,48,,
N07,,,89.3,medium,urc_large,16,6,,finished,16,14,2,2,9,BI,6,,,,
HH17,,,53,small,urc_medium,16,5,,finished,16,16,0,3,9,TD,8,,,,
HH17,,,53,small,urc_small,10,7,b,finished,10,9,1,,9,TD,7,,,yes,ran trial with small urchins due to lack of medium sized urchins
HH17,,,53,small,urc_medium,10,1,,finished,10,10,0,,9,TD,2,,,,
HH17,,,53,small,urc_medium,26,2,,finished,26,26,0,4,9,TD,3,,,,
HH17,,,53,small,urc_medium,3,3,,finished,3,3,0,,9,TD,5,,,,
HH17,,,53,small,urc_medium,5,4,,finished,5,5,0,,9,TD,4,,48,,
HH17,,,53,small,urc_medium,2,6,,finished,2,2,0,,9,TD,6,,,,
IV03,,,116.7,jumbo,urc_large,26,5,,finished,26,24,2,1,9,TI,7,,,,
IV03,,,116.7,jumbo,urc_large,5,1,,finished,5,2,3,,9,TI,2,,,,
IV03,,,116.7,jumbo,urc_large,3,2,,finished,3,0,3,,9,TI,3,,,,
IV03,,,116.7,jumbo,urc_large,10,3,,finished,10,6,4,3,9,TI,5,,,,
IV03,,,116.7,jumbo,urc_large,16,4,,finished,16,12,4,4,9,TI,4,,48,,2 eaten were diseased and intact
IV03,,,116.7,jumbo,urc_large,2,6,,finished,2,1,1,1,9,TI,6,,,,
IV03,,,116.7,jumbo,urc_medium,,,,finished,10,6,4,,9,TI,special,,,,
N01,,,63.5,small,urc_large,2,1,b,finished,2,2,0,,10,BD,7,,,,
N01,,,63.5,small,urc_large,2,1,,finished,2,2,0,,10,BD,1,,,yes,
N01,,,63.5,small,urc_large,5,2,,finished,5,5,0,,10,BD,2,,,,
N01,,,63.5,small,urc_large,26,3,,finished,26,26,0,1,10,BD,3,,,,
N01,,,63.5,small,urc_large,10,4,,finished,10,10,0,,10,BD,4,,48,,
N01,,,63.5,small,urc_large,16,5,,finished,16,16,0,1,10,BD,5,,,,
N01,,,63.5,small,urc_large,3,6,,finished,3,3,0,,10,BD,6,,,,
N01,,,63.5,small,urc_small,,,,finished,10,8,2,,10,BD,special,,,,to check if they consume urchins
HH09,,,68,small,urc_large,2,4,b,finished,2,2,0,1,10,BI,8,,,,
HH09,,,68,small,urc_large,5,1,b,finished,5,5,0,,10,BI,7,,,,
HH09,,,68,small,urc_large,5,1,,finished,5,5,0,,10,BI,1,,,yes,
HH09,,,68,small,urc_large,10,2,,finished,10,9,1,,10,BI,2,,,,
HH09,,,68,small,urc_large,16,3,,finished,16,16,0,2,10,BI,3,,,,
HH09,,,68,small,urc_large,2,4,,finished,2,2,0,,10,BI,4,,,yes,did not get starved! 
HH09,,,68,small,urc_large,3,5,,finished,3,3,0,1,10,BI,5,,,,
HH09,,,68,small,urc_large,26,6,,finished,26,26,0,6,10,BI,6,,,,
HH20,,,70,small,urc_small,3,5,,finished,3,0,3,,10,TD,7,,,,
HH20,,,70,small,urc_small,10,1,,finished,26,21,5,,10,TD,2,,,,
HH20,,,70,small,urc_small,16,2,,finished,16,13,3,,10,TD,3,,,,
HH20,,,70,small,urc_small,26,3,,finished,3,1,2,,10,TD,5,,,,did not receive correct density 
HH20,,,70,small,urc_small,5,4,,finished,5,1,4,,10,TD,4,,48,,
HH20,,,70,small,urc_small,2,6,,finished,2,0,2,,10,TD,6,,,,
N06,,,108.3,large,urc_medium,10,1,b,finished,10,6,4,,11,BD,7,,,,
N06,,,108.3,large,urc_medium,10,1,,finished,10,0,10,,11,BD,1,,,yes,mediums probably crawled to LTERs side; no way to determine how many were consumed
N06,,,108.3,large,urc_medium,26,2,,finished,26,18,8,,11,BD,2,,,,
N06,,,108.3,large,urc_medium,5,3,,finished,5,3,2,,11,BD,3,,,,
N06,,,108.3,large,urc_medium,2,4,,finished,2,0,2,,11,BD,4,,48,,
N06,,,108.3,large,urc_medium,3,5,,finished,3,0,3,,11,BD,5,,,,
N06,,,108.3,large,urc_medium,16,6,,finished,16,9,7,,11,BD,6,,,,
LTER,,,108,large,urc_small,5,1,b,finished,5,0,5,,11,BI,7,,,,
LTER,,,108,large,urc_small,5,1,,finished,5,4,1,,11,BI,1,,,yes,4 small urchins and 2 medium urchins
LTER,,,108,large,urc_small,10,2,,finished,10,0,10,,11,BI,2,no,,yes,
LTER,,,108,large,urc_small,3,3,,finished,3,0,3,,11,BI,3,,,,
LTER,,,108,large,urc_small,16,4,,finished,16,0,16,,11,BI,4,,48,,
LTER,,,108,large,urc_small,26,5,,finished,16,0,16,,11,BI,5,,,,did not receive correct density
LTER,,,108,large,urc_small,2,6,,finished,2,0,2,,11,BI,6,,,,
N10,,,80.9,medium,urc_small,2,6,b,finished,2,1,1,,11,TD,8,,,,
N10,,,80.9,medium,urc_small,5,5,,finished,5,4,1,,11,TD,7,,,,
N10,,,80.9,medium,urc_small,10,1,,finished,10,8,2,1,11,TD,2,,,,
N10,,,80.9,medium,urc_small,3,2,,finished,3,3,0,,11,TD,3,,,,
N10,,,80.9,medium,urc_small,16,3,,finished,16,9,7,1,11,TD,5,,,,
N10,,,80.9,medium,urc_small,26,4,,finished,26,23,3,,11,TD,4,,48,,
N10,,,80.9,medium,urc_small,2,6,,finished,2,1,1,,11,TD,6,,,yes,mussels found in tank; was not starved
IV05,,,91.8,large,urc_large,2,5,,finished,2,2,0,,11,TI,7,,,,
IV05,,,91.8,large,urc_large,26,1,,finished,26,26,0,1,11,TI,2,,,,
IV05,,,91.8,large,urc_large,5,2,,finished,5,5,0,1,11,TI,3,,,,
IV05,,,91.8,large,urc_large,10,3,,finished,10,7,3,,11,TI,5,,,,
IV05,,,91.8,large,urc_large,3,4,,finished,3,3,0,,11,TI,4,,48,,
IV05,,,91.8,large,urc_large,16,6,,finished,16,14,2,7,11,TI,6,,,,2 eaten were diseased
HH08,,,77,medium,urc_small,3,6,b,finished,3,3,0,,12,BD,8,,,,
HH08,,,77,medium,urc_small,2,1,b,finished,2,1,1,,12,BD,7,,,,
HH08,,,77,medium,urc_small,2,1,,finished,2,2,0,,12,BD,1,,,yes,
HH08,,,77,medium,urc_small,5,2,,finished,5,1,4,,12,BD,2,,,,1 in brick crack
HH08,,,77,medium,urc_small,10,3,,finished,10,6,4,,12,BD,3,,,,
HH08,,,77,medium,urc_small,26,4,,finished,26,22,4,,12,BD,4,,48,,
HH08,,,77,medium,urc_small,16,5,,finished,16,8,8,,12,BD,5,,,,
HH08,,,77,medium,urc_small,3,6,,finished,3,1,2,,12,BD,6,,,yes,mussels found in tank; was not starved
HH01,,,69,small,urc_large,5,1,b,finished,5,5,0,,12,BI,7,,,,
HH01,,,69,small,urc_large,5,1,,finished,5,5,0,,12,BI,1,,,yes,
HH01,,,69,small,urc_large,26,2,,finished,26,26,0,1,12,BI,2,,,,
HH01,,,69,small,urc_large,10,3,,finished,10,10,0,2,12,BI,3,,,,
HH01,,,69,small,urc_large,2,4,,finished,2,2,0,,12,BI,4,,48,,
HH01,,,69,small,urc_large,3,5,,finished,3,3,0,,12,BI,5,,,,
HH01,,,69,small,urc_large,16,6,,finished,16,16,0,6,12,BI,6,,,,
HH01,,,69,small,urc_small,,,,finished,10,3,7,,12,BI,special,,,,to determine if they eat urchins
HH07,,,72,medium,urc_small,26,5,,finished,26,16,10,,12,TD,8,,,,
HH07,,,72,medium,urc_small,10,1,b,finished,10,5,5,,12,TD,7,,,,
HH07,,,72,medium,urc_small,10,1,,finished,10,5,5,,12,TD,1,,,yes,found 5 in tank 12-TI
HH07,,,72,medium,urc_small,2,2,,finished,2,0,2,,12,TD,2,,,,
HH07,,,72,medium,urc_small,16,3,,finished,16,14,2,,12,TD,3,,,,
HH07,,,72,medium,urc_small,5,4,,finished,5,5,0,,12,TD,4,,48,,
HH07,,,72,medium,urc_small,3,6,,finished,3,0,3,,12,TD,6,,,,
N11,,,95,large,urc_large,10,5,,finished,10,10,0,1,12,TI,8,,,,
N11,,,95,large,urc_large,5,1,b,finished,5,5,0,,12,TI,7,,,,
N11,,,95,large,urc_large,5,1,,finished,5,5,0,,12,TI,1,,,yes,may have conusumed smalled from 12-BD that went under the barrier
N11,,,95,large,urc_large,3,2,,finished,3,3,0,1,12,TI,3,,,,
N11,,,95,large,urc_large,26,3,,finished,3,3,0,,12,TI,5,,,,did not receive correct density 
N11,,,95,large,urc_large,2,4,,finished,2,2,0,,12,TI,4,,48,,
N11,,,95,large,urc_large,16,6,,finished,16,16,0,5,12,TI,6,,,,
ML,,,108,large,urc_small,26,2,b,finished,26,9,17,,13,BD,8,,,,
ML,,,108,large,urc_small,2,1,b,finished,2,0,2,,13,BD,7,,,,only two mussels remaining
ML,,,108,large,urc_small,2,1,,finished,2,1,1,,13,BD,1,,,yes,
ML,,,108,large,urc_small,26,2,,finished,26,6,20,,13,BD,2,,,yes,only starved for 24 h
ML,,,108,large,urc_small,16,3,,finished,16,4,12,,13,BD,3,,,,
ML,,,108,large,urc_small,5,4,,finished,5,0,5,,13,BD,4,,48,,
ML,,,108,large,urc_small,10,5,,finished,3,0,3,,13,BD,5,,,,did not receive correct density
ML,,,108,large,urc_small,3,6,,finished,3,0,3,,13,BD,6,,,,
IV02,,,120.7,jumbo,urc_medium,3,3,b,finished,3,1,2,,13,BI,8,,,,
IV02,,,120.7,jumbo,urc_medium,5,1,b,finished,5,5,0,,13,BI,7,,,,
IV02,,,120.7,jumbo,urc_medium,5,1,,finished,5,2,3,,13,BI,1,,,yes,
IV02,,,120.7,jumbo,urc_medium,26,2,,finished,26,21,5,2,13,BI,2,,,,
IV02,,,120.7,jumbo,urc_medium,3,3,,finished,3,0,3,,13,BI,3,no,,yes,
IV02,,,120.7,jumbo,urc_medium,16,4,,finished,16,14,2,,13,BI,4,,48,,
IV02,,,120.7,jumbo,urc_medium,2,5,,finished,2,2,0,,13,BI,5,,,,
IV02,,,120.7,jumbo,urc_medium,10,6,,finished,10,6,4,,13,BI,6,,,,
HH19,,,68,small,urc_small,5,5,,finished,5,3,2,,13,TD,8,,,,
HH19,,,68,small,urc_small,10,1,b,finished,10,8,2,,13,TD,7,,,,
HH19,,,68,small,urc_small,10,1,,finished,10,10,0,,13,TD,1,,,yes,
HH19,,,68,small,urc_small,3,2,,finished,3,2,1,,13,TD,2,,,,
HH19,,,68,small,urc_small,2,3,,finished,2,2,0,,13,TD,3,,,,
HH19,,,68,small,urc_small,16,4,,finished,16,14,2,,13,TD,4,,48,,
HH19,,,68,small,urc_small,26,6,,finished,26,19,7,1,13,TD,6,,,,
HH14,,,61,small,urc_medium,3,1,b,finished,3,3,0,1,13,TI,7,,,,
HH14,,,61,small,urc_medium,3,1,,finished,3,3,0,,13,TI,1,,,yes,
HH14,,,61,small,urc_medium,10,2,,finished,10,10,0,,13,TI,2,,,,
HH14,,,61,small,urc_medium,2,3,,finished,2,2,0,,13,TI,3,,,,
HH14,,,61,small,urc_medium,26,4,,finished,26,26,0,,13,TI,4,,48,,
HH14,,,61,small,urc_medium,16,5,,finished,5,4,1,,13,TI,5,,,,did not receive correct density
HH14,,,61,small,urc_medium,5,6,,finished,5,4,1,,13,TI,6,,,,
HH14,,,61,small,urc_small,,,,finished,10,7,3,,13,TI,special,,,,to determine if they eat urchins
SCI03,,,115,jumbo,urc_small,10,5,,finished,10,0,10,,14,BD,8,,,,
SCI03,,,115,jumbo,urc_small,26,1,b,finished,26,6,20,1,14,BD,7,,,,
SCI03,,,115,jumbo,urc_small,26,1,,finished,26,9,17,,14,BD,1,,,yes,9 smalls remaining; 2 mediums remaining -- likely from IV04
SCI03,,,115,jumbo,urc_small,3,2,,finished,3,0,3,,14,BD,2,,,,
SCI03,,,115,jumbo,urc_small,5,3,,finished,5,0,5,,14,BD,5,,,,
SCI03,,,115,jumbo,urc_small,2,4,,finished,2,0,2,,14,BD,4,,48,,no evidence of urchins
SCI03,,,115,jumbo,urc_small,16,6,,finished,16,0,16,,14,BD,6,,,,
