campus,method,year,month,day,site,side,zone,transect,classcode,size,depth,observer,count
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,7.8,,CHRIS GOTSCHALK,2
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,8.5,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,8.7,,CHRIS GOTSCHALK,2
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,8.9,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,9.1,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,9.4,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,9.8,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,9.9,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,10.4,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,MESFRAAD,12.1,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,STRPURAD,3,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,STRPURAD,3.9,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,STRPURAD,4,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,STRPURAD,4.4,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,STRPURAD,4.5,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,STRPURAD,4.6,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,STRPURAD,4.9,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,STRPURAD,5.3,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,15,SRI_SOUTH_POINT,E,OUTER,,STRPURAD,5.4,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,1.5,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,2,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,2.5,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,4.4,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,4.8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,5.5,,IAN TANIGUCHI,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,6,,IAN TANIGUCHI,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,6.1,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,6.5,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,6.6,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,7.3,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,7.4,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,7.8,,IAN TANIGUCHI,5
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,8.1,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,8.4,,IAN TANIGUCHI,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,8.6,,IAN TANIGUCHI,5
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,8.8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,9.1,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,9.2,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,9.3,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,MESFRAAD,9.4,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,STRPURAD,2.4,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,STRPURAD,2.8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,STRPURAD,3,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,STRPURAD,3.4,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,STRPURAD,4.5,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,STRPURAD,4.6,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,STRPURAD,5.1,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,STRPURAD,5.3,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,E,MID,,STRPURAD,5.7,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,2.8,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,2.9,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,3,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,3.7,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,3.9,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,4,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,4.6,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,5,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,7.4,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,7.5,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,7.9,,CHRIS GOTSCHALK,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,8,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,8.4,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,8.5,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,8.6,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,8.8,,CHRIS GOTSCHALK,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,8.9,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,9,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,9.2,,CHRIS GOTSCHALK,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,9.3,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,9.4,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,9.5,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,9.7,,CHRIS GOTSCHALK,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,9.9,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,10,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,11.1,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,MESFRAAD,11.5,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,1.8,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,1.9,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,2.3,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,3.3,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,3.4,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,3.8,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,3.9,,CHRIS GOTSCHALK,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,4,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,4.2,,CHRIS GOTSCHALK,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,4.3,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,4.5,,CHRIS GOTSCHALK,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,4.7,,CHRIS GOTSCHALK,3
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,4.9,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,5,,CHRIS GOTSCHALK,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,5.1,,CHRIS GOTSCHALK,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,5.2,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,5.3,,CHRIS GOTSCHALK,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,5.5,,CHRIS GOTSCHALK,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,5.6,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,5.7,,CHRIS GOTSCHALK,3
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,5.8,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,6,,CHRIS GOTSCHALK,3
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,6.5,,CHRIS GOTSCHALK,3
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,6.7,,CHRIS GOTSCHALK,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,MID,,STRPURAD,6.8,,CHRIS GOTSCHALK,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,2.5,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,2.6,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,3.8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,4.2,,IAN TANIGUCHI,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,4.8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,6.8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,6.9,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,7.2,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,7.9,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,8.2,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,8.8,,IAN TANIGUCHI,2
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,8.9,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,9,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,9.1,,IAN TANIGUCHI,3
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,9.3,,IAN TANIGUCHI,3
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,9.5,,IAN TANIGUCHI,4
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,9.7,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,9.9,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,10.1,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,10.3,,IAN TANIGUCHI,3
UCSB,SBTL_SIZEFREQ,2003,10,16,SRI_SOUTH_POINT,W,OUTER,,MESFRAAD,10.8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,1.3,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,1.7,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,1.8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,2,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,3.1,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,3.7,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,4.4,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,4.6,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,5.3,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,6.4,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,6.6,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,6.9,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,7,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,7.5,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,7.6,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,7.9,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,8.2,,IAN TANIGUCHI,2
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,8.4,,IAN TANIGUCHI,2
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,8.6,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,8.8,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,8.9,,IAN TANIGUCHI,1
UCSB,SBTL_SIZEFREQ,2003,10,17,SMI_PRINCE_ISLAND,W,INNER,,MESFRAAD,9.1,,IAN TANIGUCHI,1
